"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","4,730","4,720","4,790","4,680","308.12M","0.21%"
"10/01/2025","4,720","4,360","4,830","4,010","4.36B","7.27%"
"09/01/2025","4,400","4,550","4,750","4,310","3.89B","-6.98%"
"08/01/2025","4,730","4,570","4,980","4,510","2.97B","4.88%"
"07/01/2025","4,510","4,900","4,990","4,510","3.87B","-7.58%"
"06/01/2025","4,880","5,200","5,300","4,800","2.50B","-7.92%"
"05/01/2025","5,300","4,980","5,575","4,750","2.87B","8.38%"
"04/01/2025","4,890","4,500","5,225","4,500","4.40B","-5.96%"
"03/01/2025","5,200","4,750","5,250","4,250","4.63B","13.04%"
"02/01/2025","4,600","5,975","6,000","4,550","4.86B","-23.65%"
"01/01/2025","6,025","5,700","6,300","5,400","2.01B","5.70%"
"12/01/2024","5,700","6,175","6,450","5,600","1.92B","-7.32%"
"11/01/2024","6,150","6,725","6,950","6,100","2.15B","-8.21%"
"10/01/2024","6,700","7,000","7,300","6,575","1.85B","-3.25%"
"09/01/2024","6,925","7,200","7,550","6,875","1.93B","-2.81%"
"08/01/2024","7,125","6,550","7,350","6,500","2.26B","11.33%"
"07/01/2024","6,400","6,175","6,750","6,100","2.10B","4.07%"
"06/01/2024","6,150","6,075","6,350","5,650","2.15B","4.24%"
"05/01/2024","5,900","6,800","6,800","5,525","3.33B","-14.49%"
"04/01/2024","6,900","7,250","7,250","6,300","1.79B","-4.83%"
"03/01/2024","7,250","7,050","7,500","6,950","1.79B","3.57%"
"02/01/2024","7,000","6,575","7,400","6,500","2.11B","5.26%"
"01/01/2024","6,650","6,050","6,700","6,025","1.98B","9.92%"
"12/01/2023","6,050","5,850","6,150","5,650","1.51B","3.42%"